Candidate Organization Link,Industry,Industry Group Description,Industry Group Wiki Page,duplicate
http://auditcommitteecollaboration.org,"Advertising, business, marketing","The Center for Audit Quality (CAQ) is an autonomous, nonpartisan, nonprofit public policy advocacy organization based in Washington, DC. It is affiliated with the American Institute of CPAs.
",https://en.wikipedia.org/wiki/Center_for_Audit_Quality,False
http://www.antifraudcollaboration.org,"Advertising, business, marketing","The Center for Audit Quality (CAQ) is an autonomous, nonpartisan, nonprofit public policy advocacy organization based in Washington, DC. It is affiliated with the American Institute of CPAs.
",https://en.wikipedia.org/wiki/Center_for_Audit_Quality,False
http://www.thecaq.org,"Advertising, business, marketing","The Center for Audit Quality (CAQ) is an autonomous, nonpartisan, nonprofit public policy advocacy organization based in Washington, DC. It is affiliated with the American Institute of CPAs.
",https://en.wikipedia.org/wiki/Center_for_Audit_Quality,False
https://www.discoveraudit.org,"Advertising, business, marketing","The Center for Audit Quality (CAQ) is an autonomous, nonpartisan, nonprofit public policy advocacy organization based in Washington, DC. It is affiliated with the American Institute of CPAs.
",https://en.wikipedia.org/wiki/Center_for_Audit_Quality,False
http://www.competeamerica.org,"Advertising, business, marketing","Compete America, The Alliance for a Competitive Workforce, is a coalition representing corporations, universities, research institutions and trade associations that advocates for reform of U.S. immigration policy for highly educated foreign professionals.
",https://en.wikipedia.org/wiki/Compete_America,False
http://www.parade.com,"Advertising, business, marketing","Compete America, The Alliance for a Competitive Workforce, is a coalition representing corporations, universities, research institutions and trade associations that advocates for reform of U.S. immigration policy for highly educated foreign professionals.
",https://en.wikipedia.org/wiki/Compete_America,False
http://www.casro.org,"Advertising, business, marketing","In January, 2017, CASRO merged with the Marketing Research Association (MRA) to form the Insights Association.
",https://en.wikipedia.org/wiki/Council_of_American_Survey_Research_Organizations,False
http://www.printing.org,"Advertising, business, marketing","Graphic Arts Technical Foundation is a nonprofit, scientific, technical, and educational organization which promotes the technological advancement of the printing industry worldwide. 
",https://en.wikipedia.org/wiki/Graphic_Arts_Technical_Foundation,False
http://www.ism.ws,"Advertising, business, marketing","Institute for Supply Management (ISM) is the oldest, and the largest, supply management association in the world.[1] Founded in 1915, the U.S.-based not-for-profit educational association serves professionals and organizations with a keen interest in supply management, providing them education, training, qualifications, publications, information, and research.
",https://en.wikipedia.org/wiki/Institute_for_Supply_Management,False
http://www.iipawebsite.com,"Advertising, business, marketing","The International Intellectual Property Alliance (IIPA), formed in 1984, is a private sector coalition of seven trade associations representing U.S. companies that produce copyright-protected material, including computer software, films, television programs, music, books, and journals (electronic and print media). It seeks to strengthen international copyright protection and enforcement by working with the U.S. government, foreign governments, and private-sector representatives.[1]
",https://en.wikipedia.org/wiki/International_Intellectual_Property_Alliance,False
http://www.marketingresearch.org,"Advertising, business, marketing","The Marketing Research Association (MRA) was a 501(c)(6) non-profit, membership trade association, incorporated in New York state. Members were companies that specialized in, or had departments that specialized in, market research, consumer opinion and related marketing intelligence. Individuals who were marketing research practitioners could also become members. 
",https://en.wikipedia.org/wiki/Marketing_Research_Association,False
http://www.nareb.com,"Advertising, business, marketing","The National Association of Real Estate Brokers (NAREB) was formed July 29, 1947, making it the oldest minority trade association in America.[1] NAREB was established by African-American real estate professionals as an alternative for African-Americans who were excluded from the National Association of Realtors.",https://en.wikipedia.org/wiki/National_Association_of_Real_Estate_Brokers,False
http://www.pma.com,"Advertising, business, marketing",About Produce Marketing Association                               ,https://en.wikipedia.org/wiki/Produce_Marketing_Association,False
http://www.prsa.org,"Advertising, business, marketing","The Public Relations Society of America (PRSA) is a nonprofit trade association for public relations professionals headquartered in New York City. It was founded in 1947 by combining the American Council on Public Relations and the National Association of Public Relations Councils. That year it had its first annual conference and award ceremony. In the 1950s and 1960s, the society created its code of conduct, accreditation program and a student society called the Public Relations Student Society of America. In the 1970s and 1980s, its membership attained a stronger female demographic and the society had its first female Presidents. PRSA created a definition of public relations in 1982, which was updated with a crowd-sourced version in 2011.
",https://en.wikipedia.org/wiki/Public_Relations_Society_of_America,False
http://www.uschamber.com,"Advertising, business, marketing","The United States Chamber of Commerce (USCC) is a business-oriented American lobbying group.  It is not an agency of the United States government.
",https://en.wikipedia.org/wiki/United_States_Chamber_of_Commerce,False
http://radcliffe.harvard.edu,"Advertising, business, marketing","The United States Chamber of Commerce (USCC) is a business-oriented American lobbying group.  It is not an agency of the United States government.
",https://en.wikipedia.org/wiki/United_States_Chamber_of_Commerce,False
http://realclearpolitics.com,"Advertising, business, marketing","The United States Chamber of Commerce (USCC) is a business-oriented American lobbying group.  It is not an agency of the United States government.
",https://en.wikipedia.org/wiki/United_States_Chamber_of_Commerce,False
http://rmc.library.cornell.edu,"Advertising, business, marketing","The United States Chamber of Commerce (USCC) is a business-oriented American lobbying group.  It is not an agency of the United States government.
",https://en.wikipedia.org/wiki/United_States_Chamber_of_Commerce,False
http://nrs.harvard.edu,"Advertising, business, marketing","The United States Chamber of Commerce (USCC) is a business-oriented American lobbying group.  It is not an agency of the United States government.
",https://en.wikipedia.org/wiki/United_States_Chamber_of_Commerce,False
http://www.the-aaa.org,Agriculture,"The American Ambulance Association (AAA) is a trade association for the EMS industry. The AAA is based in McLean, Virginia and was founded in 1979.[1]",https://en.wikipedia.org/wiki/American_Ambulance_Association,False
http://www.aaha.org\pet_owner,Agriculture,"The American Animal Hospital Association (AAHA) is a non-profit organization for companion animal veterinary hospitals. Established in 1933, the association is the only accrediting body for small animal hospitals in the U.S. and Canada. The association develops benchmarks of excellence, business practice standards, publications and educational programs.  Any veterinary hospital can join AAHA as a member, but must then pass an evaluation in order to receive AAHA accreditation.
",https://en.wikipedia.org/wiki/American_Animal_Hospital_Association,False
http://www.aaha.org,Agriculture,"The American Animal Hospital Association (AAHA) is a non-profit organization for companion animal veterinary hospitals. Established in 1933, the association is the only accrediting body for small animal hospitals in the U.S. and Canada. The association develops benchmarks of excellence, business practice standards, publications and educational programs.  Any veterinary hospital can join AAHA as a member, but must then pass an evaluation in order to receive AAHA accreditation.
",https://en.wikipedia.org/wiki/American_Animal_Hospital_Association,False
http://www.christmastreeassociation.org,Agriculture,"The American Christmas Tree Association is an American, non-profit organization[1] and industry trade group that represents those involved in the artificial Christmas tree industry.[2][3]  The president of the group is Thomas Harman, who is also the president and CEO of Balsam Hill, a seller of artificial trees.[4]  In November 2008, they launched a new website, which, according to the association, was meant to, ""promote accurate and factual consumer information and provide consumers with the tools they need to make an educated choice about the right tree for their holiday and family enjoyment"".[5] The American Christmas Tree Association is based in a West Hollywood, California post office box.[1]
",https://en.wikipedia.org/wiki/American_Christmas_Tree_Association,False
http://www.acgf.org,Agriculture,"The American Corn Growers Association (ACGA) is a commodity and advocacy association founded in 1987 which represents the interests of corn (maize) producers in the United States, where corn is used for human and animal food and to produce ethanol. A rival group, the National Corn Growers Association, is seen as more closely aligned with the food processing industry.[1]
",https://en.wikipedia.org/wiki/American_Corn_Growers_Association,False
http://www.kansashorsecouncil.com,Agriculture,"The American Equestrian Trade Association (AETA) is a not-for-profit (501-C6) trade organization founded in 2007. Association membership consists of 370 organizations involved with manufacturing, distribution and retailing of products for horses and riders.
",https://en.wikipedia.org/wiki/American_Equestrian_Trade_Association,False
http://aeta.us,Agriculture,"The American Equestrian Trade Association (AETA) is a not-for-profit (501-C6) trade organization founded in 2007. Association membership consists of 370 organizations involved with manufacturing, distribution and retailing of products for horses and riders.
",https://en.wikipedia.org/wiki/American_Equestrian_Trade_Association,False
http://www.horsetalk.co.nz,Agriculture,"The American Equestrian Trade Association (AETA) is a not-for-profit (501-C6) trade organization founded in 2007. Association membership consists of 370 organizations involved with manufacturing, distribution and retailing of products for horses and riders.
",https://en.wikipedia.org/wiki/American_Equestrian_Trade_Association,False
http://www.campusequestrian.com,Agriculture,"The American Equestrian Trade Association (AETA) is a not-for-profit (501-C6) trade organization founded in 2007. Association membership consists of 370 organizations involved with manufacturing, distribution and retailing of products for horses and riders.
",https://en.wikipedia.org/wiki/American_Equestrian_Trade_Association,False
http://kclibrary.org,Agriculture,The American Hereford Association is a trade organization in the USA that promotes Hereford cattle.,https://en.wikipedia.org/wiki/American_Hereford_Association,False
http://www.hereford.org,Agriculture,The American Hereford Association is a trade organization in the USA that promotes Hereford cattle.,https://en.wikipedia.org/wiki/American_Hereford_Association,False
http://www.statehorsecouncils.org,Agriculture,"The American Horse Council (AHC) is a trade organization in Washington, DC representing the horse industry.  The organization formed in 1969,[citation needed] with a committee  that became the Coalition of State Horse Councils forming in 1970, now having 43 states participating.[1] American Horse Council Foundation was founded in 1991.[2]
It lobbies before Congress and Federal agencies for the interests of the horse industry, and serves as a unified voice for the horse industry.
",https://en.wikipedia.org/wiki/American_Horse_Council,False
http://horsecouncil.org,Agriculture,"The American Horse Council (AHC) is a trade organization in Washington, DC representing the horse industry.  The organization formed in 1969,[citation needed] with a committee  that became the Coalition of State Horse Councils forming in 1970, now having 43 states participating.[1] American Horse Council Foundation was founded in 1991.[2]
It lobbies before Congress and Federal agencies for the interests of the horse industry, and serves as a unified voice for the horse industry.
",https://en.wikipedia.org/wiki/American_Horse_Council,False
http://www.corn.org,Agriculture,"The Corn Refiners Association (CRA) is a trade association based in Washington, D.C. and representing the corn refining industry in the United States. Corn refining encompasses the production of corn starch, corn oil, and high fructose corn syrup (HFCS).",https://en.wikipedia.org/wiki/Corn_Refiners_Association,False
http://www.croplife.org,Agriculture,"July 7, 2001; 17 years ago (2001-07-07) CropLife
November 1996 GPFC
",https://en.wikipedia.org/wiki/CropLife_International,False
http://www.farmfoundation.org,Agriculture,"Farm Foundation is a U.S. nonprofit organization that provides non-partisan policy research and forums relating to agribusiness. Its headquarters are in Oak Brook, Illinois.
",https://en.wikipedia.org/wiki/Farm_Foundation,False
https://www.gmaonline.org,Agriculture,"The Grocery Manufacturers Association (GMA) is a trade association of the food industry.[1] It represents the world's largest branded food, beverage and consumer product companies.
",https://en.wikipedia.org/wiki/Grocery_Manufacturers_Association,False
http://www.thehia.org,Agriculture,"The Hemp Industries Association (HIA) is a non-profit trade group representing hemp companies, researchers and supporters in the United States and Canada. The group petitions for fair and equal treatment of industrial hemp. Since 1992, the HIA has been dedicated to education, industry development, and the accelerated expansion of hemp world market supply and demand.",https://en.wikipedia.org/wiki/Hemp_Industries_Association,False
http://www.time.com,"Clothing, apparel, footwear, fashion","Fashion Originators' Guild of America v. FTC, 312 U.S. 457 (1941), is a 1941 decision of the United States Supreme Court sustaining an order of the Federal Trade Commission against a boycott agreement (concerted refusal to deal) among manufacturers of ""high-fashion"" dresses. The purpose of the boycott was to suppress ""style piracy"" (unauthorized copying of original dress creations of Fashion Guild members). The FTC found the Fashion Guild in violation of § 5 of the FTC Act, because the challenged conduct was a per se violation of § 1 of the Sherman Act.[1]
",https://en.wikipedia.org/wiki/Fashion_Originators%27_Guild_of_America,False
http://www.newyorker.com,"Clothing, apparel, footwear, fashion","Fashion Originators' Guild of America v. FTC, 312 U.S. 457 (1941), is a 1941 decision of the United States Supreme Court sustaining an order of the Federal Trade Commission against a boycott agreement (concerted refusal to deal) among manufacturers of ""high-fashion"" dresses. The purpose of the boycott was to suppress ""style piracy"" (unauthorized copying of original dress creations of Fashion Guild members). The FTC found the Fashion Guild in violation of § 5 of the FTC Act, because the challenged conduct was a per se violation of § 1 of the Sherman Act.[1]
",https://en.wikipedia.org/wiki/Fashion_Originators%27_Guild_of_America,False
https://statenisland.pastperfectonline.com,"Clothing, apparel, footwear, fashion","Fashion Originators' Guild of America v. FTC, 312 U.S. 457 (1941), is a 1941 decision of the United States Supreme Court sustaining an order of the Federal Trade Commission against a boycott agreement (concerted refusal to deal) among manufacturers of ""high-fashion"" dresses. The purpose of the boycott was to suppress ""style piracy"" (unauthorized copying of original dress creations of Fashion Guild members). The FTC found the Fashion Guild in violation of § 5 of the FTC Act, because the challenged conduct was a per se violation of § 1 of the Sherman Act.[1]
",https://en.wikipedia.org/wiki/Fashion_Originators%27_Guild_of_America,False
http://supreme.justia.com,"Clothing, apparel, footwear, fashion","Fashion Originators' Guild of America v. FTC, 312 U.S. 457 (1941), is a 1941 decision of the United States Supreme Court sustaining an order of the Federal Trade Commission against a boycott agreement (concerted refusal to deal) among manufacturers of ""high-fashion"" dresses. The purpose of the boycott was to suppress ""style piracy"" (unauthorized copying of original dress creations of Fashion Guild members). The FTC found the Fashion Guild in violation of § 5 of the FTC Act, because the challenged conduct was a per se violation of § 1 of the Sherman Act.[1]
",https://en.wikipedia.org/wiki/Fashion_Originators%27_Guild_of_America,False
http://www.vintagefashionguild.org,"Clothing, apparel, footwear, fashion","Fashion Originators' Guild of America v. FTC, 312 U.S. 457 (1941), is a 1941 decision of the United States Supreme Court sustaining an order of the Federal Trade Commission against a boycott agreement (concerted refusal to deal) among manufacturers of ""high-fashion"" dresses. The purpose of the boycott was to suppress ""style piracy"" (unauthorized copying of original dress creations of Fashion Guild members). The FTC found the Fashion Guild in violation of § 5 of the FTC Act, because the challenged conduct was a per se violation of § 1 of the Sherman Act.[1]
",https://en.wikipedia.org/wiki/Fashion_Originators%27_Guild_of_America,False
http://theschereport.wordpress.com,"Clothing, apparel, footwear, fashion","The Council of Fashion Designers of America, Inc. (CFDA), founded in 1962 by publicist Eleanor Lambert,[1] is a not-for-profit trade association of over 450 American fashion and accessory designers. The first president of the Council was Sydney Wragge [2](till 1965). As of 2009, Diane von Fürstenberg was the group's president and Steven Kolb the CEO. The organization's stated mission is to strengthen the influence and success of American designers in the global economy.",https://en.wikipedia.org/wiki/Council_of_Fashion_Designers_of_America,False
http://www.cfda.com,"Clothing, apparel, footwear, fashion","The Council of Fashion Designers of America, Inc. (CFDA), founded in 1962 by publicist Eleanor Lambert,[1] is a not-for-profit trade association of over 450 American fashion and accessory designers. The first president of the Council was Sydney Wragge [2](till 1965). As of 2009, Diane von Fürstenberg was the group's president and Steven Kolb the CEO. The organization's stated mission is to strengthen the influence and success of American designers in the global economy.",https://en.wikipedia.org/wiki/Council_of_Fashion_Designers_of_America,False
http://www.celebuzz.com,"Clothing, apparel, footwear, fashion","The Council of Fashion Designers of America, Inc. (CFDA), founded in 1962 by publicist Eleanor Lambert,[1] is a not-for-profit trade association of over 450 American fashion and accessory designers. The first president of the Council was Sydney Wragge [2](till 1965). As of 2009, Diane von Fürstenberg was the group's president and Steven Kolb the CEO. The organization's stated mission is to strengthen the influence and success of American designers in the global economy.",https://en.wikipedia.org/wiki/Council_of_Fashion_Designers_of_America,False
http://www.trasfello.com,Energy,"The Air Conditioning Contractors of America (ACCA) is the largest HVAC contractor organization in the USA.  Its headquarters is at 2800 Shirlington Road, Suite 300, Arlington, VA 22206.
",https://en.wikipedia.org/wiki/Air_Conditioning_Contractors_of_America,False
https://www.osha.gov,Energy,"The Air Conditioning Contractors of America (ACCA) is the largest HVAC contractor organization in the USA.  Its headquarters is at 2800 Shirlington Road, Suite 300, Arlington, VA 22206.
",https://en.wikipedia.org/wiki/Air_Conditioning_Contractors_of_America,False
http://www.acca.org,Energy,"The Air Conditioning Contractors of America (ACCA) is the largest HVAC contractor organization in the USA.  Its headquarters is at 2800 Shirlington Road, Suite 300, Arlington, VA 22206.
",https://en.wikipedia.org/wiki/Air_Conditioning_Contractors_of_America,False
http://ahrinet.org,Energy,"The Air Conditioning, Heating, and Refrigeration Institute (AHRI), formed in 2008 by a merger of the Air-Conditioning and Refrigeration Institute (ARI) and the Gas Appliance Manufacturers Association (GAMA), is a North American trade association of manufacturers of air conditioning, heating, and commercial refrigeration equipment. The organization performs political advocacy on behalf of its member industries, maintains technical standards, certifies products, shares data, conducts research, and awards scholarships.[1][2][3]","https://en.wikipedia.org/wiki/Air_Conditioning,_Heating_and_Refrigeration_Institute",False
http://www.aga.org,Energy,"The American Gas Association (AGA), founded in 1918, is an American trade organization representing over 200[1] natural gas supply companies and others with an interest in the manufacturing of gas appliances as well as the production of gas. About 92% of the 70 million natural gas customers in the US receive their gas from AGA members.
",https://en.wikipedia.org/wiki/American_Gas_Association,False
http://www.truebluenaturalgas.org,Energy,"The American Gas Association (AGA), founded in 1918, is an American trade organization representing over 200[1] natural gas supply companies and others with an interest in the manufacturing of gas appliances as well as the production of gas. About 92% of the 70 million natural gas customers in the US receive their gas from AGA members.
",https://en.wikipedia.org/wiki/American_Gas_Association,False
http://api.org,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",https://en.wikipedia.org/wiki/American_Petroleum_Institute,False
http://nccsweb.urban.org,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",https://en.wikipedia.org/wiki/American_Petroleum_Institute,False
http://www.sourcewatch.org,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",https://en.wikipedia.org/wiki/American_Petroleum_Institute,False
https://projects.propublica.org,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",https://en.wikipedia.org/wiki/American_Petroleum_Institute,False
http://publicservice.evendon.com,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",https://en.wikipedia.org/wiki/American_Petroleum_Institute,False
http://www.opensecrets.org,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",https://en.wikipedia.org/wiki/American_Petroleum_Institute,False
http://www.apga.org,Energy,"The American Public Gas Association (APGA) is a not for profit trade organization representing America's publicly owned, natural gas local distribution companies (LDCs). APGA represents the interests of public gas before the United States Congress, federal agencies and other energy-related stakeholders by developing regulatory and legislative policies that further the goals of our members. Through APGA, public gas systems work together to stay informed about new developments in safety, public policy, operations, technology, and the marketplace. APGA organizes meetings, seminars, and workshops to improve reliability, operational efficiency, and the regulatory environment.
",https://en.wikipedia.org/wiki/American_Public_Gas_Association,False
http://www.publicpower.org,Energy,"The American Public Power Association (APPA) is the service organization for the more than 2,000 U.S. community-owned electric utilities that serve more than 47 million Americans.
",https://en.wikipedia.org/wiki/American_Public_Power_Association,False
http://www.awea.org,Energy,"The American Wind Energy Association (AWEA) is a Washington, D.C.-based national trade association formed in 1974, representing wind power project developers, equipment suppliers, service providers, parts manufacturers, utilities, researchers, and others involved in the wind industry.[1]",https://en.wikipedia.org/wiki/American_Wind_Energy_Association,False
http://www.windpowerexpo.org,Energy,"The American Wind Energy Association (AWEA) is a Washington, D.C.-based national trade association formed in 1974, representing wind power project developers, equipment suppliers, service providers, parts manufacturers, utilities, researchers, and others involved in the wind industry.[1]",https://en.wikipedia.org/wiki/American_Wind_Energy_Association,False
http://www.troopstoenergyjobs.com,Energy,"701 Pennsylvania Avenue, N.W.
",https://en.wikipedia.org/wiki/Edison_Electric_Institute,False
http://theelectricgeneration.org,Energy,"701 Pennsylvania Avenue, N.W.
",https://en.wikipedia.org/wiki/Edison_Electric_Institute,False
http://www.eei.org,Energy,"701 Pennsylvania Avenue, N.W.
",https://en.wikipedia.org/wiki/Edison_Electric_Institute,False
http://www.geo-energy.org,Energy,"The Geothermal Energy Association (GEA) is a U.S. trade organization composed of U.S. companies who support the expanded use of geothermal energy and are developing geothermal resources worldwide for electrical power generation and direct-heat uses. GEA advocates for public policies that will promote the development and utilization of geothermal resources, provides a forum for the industry to discuss issues and problems, encourages research and development to improve geothermal technologies, presents industry views to governmental organizations, provides assistance for the export of geothermal goods and services, compiles statistical data about the geothermal industry, and conducts education and outreach projects.
",https://en.wikipedia.org/wiki/Geothermal_Energy_Association,False
http://www.pelletheat.org,Energy,"Pellet Fuels Institute (PFI) is a North American trade organization that represents manufacturers, retailers and distributors of wood pellet fuel supplies and appliances. The PFI was formed in 1985 as the Fiber Fuels Institute.[1]",https://en.wikipedia.org/wiki/Pellet_Fuels_Institute,False
http://www.nemionline.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.smacnatri.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.sheetmetalpartners.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://newhorizonsfoundation.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.sheetmetal-iti.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.smohit.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.hvacexpertise.com,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.smacna.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.tabbcertified.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.asm-expertise.com,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
http://www.smart-union.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
https://www.icbcertified.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",https://en.wikipedia.org/wiki/Sheet_Metal_and_Air_Conditioning_Contractors%27_National_Association,False
