Candidate Organization Link,Industry,Industry Group Description,Candidate Organization Name,Contact Information
http://www.archerytrade.org,Entertainment and leisure,"The Archery Trade Association (ATA), is the trade group representing manufacturers, retailers, distributors, sales representatives and others working in the archery and bowhunting industry.[1] The ATA has served its members since 1953. It is dedicated to making the industry profitable by decreasing business overhead, reducing taxes and government regulation, and increasing participation in archery and bowhunting.
",Home | Archery Trade Association,[info@archerytrade.org]
http://www.demashow.com,Entertainment and leisure,"Diving Equipment and Marketing Association (DEMA, formerly the Diving Equipment Manufacturers Association),[1][2] is an international organization dedicated to the promotion and growth of the recreational scuba diving and snorkeling industry. With more than 1,300 members, this non-profit, global organization promotes scuba diving through consumer awareness programs and media campaigns such as the national Be a Diver campaign; diver retention initiatives such as DiveCaching; and an annual trade-only event for businesses in the scuba diving, action watersports and adventure/dive-travel industries, DEMA Show.[3]
",DEMA Show 2018,"[info@ntpshow.com, info@dema.org, 137523906@N06/coll]"
http://www.dema.org,Entertainment and leisure,"Diving Equipment and Marketing Association (DEMA, formerly the Diving Equipment Manufacturers Association),[1][2] is an international organization dedicated to the promotion and growth of the recreational scuba diving and snorkeling industry. With more than 1,300 members, this non-profit, global organization promotes scuba diving through consumer awareness programs and media campaigns such as the national Be a Diver campaign; diver retention initiatives such as DiveCaching; and an annual trade-only event for businesses in the scuba diving, action watersports and adventure/dive-travel industries, DEMA Show.[3]
",The Diving Equipment & Marketing Association,"[137523906@N06/albu, nr@original, nr@seenError, info@dema.org, nr@context, nr@wrapped]"
http://www.fsta.org,Entertainment and leisure,"
",FSTA | Catch The Fantasy Momentum,"[media@fsta.org MINN, media@fsta.org FANT, media@fsta.org Ian, info@fsta.org]"
http://www.gcsaa.org,Entertainment and leisure,"Golf Course Superintendents Association of America (GCSAA) was founded in 1926 when 60 superintendents met at the Sylvania Country Club in Toledo, Ohio to form the National Association of Greenkeepers of America (NAGA).
",Golf Course Superintendents Association of America | GCSAA,[]
http://www.opengroup.org,Entertainment and leisure,"Hospitality Technology Next Generation, formerly Hotel Technology Next Generation, commonly referred to as HTNG, is a global, non-profit trade association serving hotel companies and technology providers. It was founded in 2002 and is governed by a board of directors consisting of senior technology executives from hotel companies. Membership is open to companies and individuals involved with hospitality technology.","Leading the development of open, vendor-neutral IT standards and certifications | The Open Group",[]
http://www.namta.org,Entertainment and leisure,"The International Art Materials Trade Association (NAMTA), also known as the National Art Materials Trade Association is an international nonprofit corporation based out of Cornelius, North Carolina. It is the largest organization in the world that works exclusively on behalf of the fine art and creative art materials industry. The association works collaboratively to provide executive, management, sales, marketing, and merchandising support; staff training and certification at all levels of employment, and public relations and marketing resources for industry professionals. The association includes retailers, suppliers, manufacturers, distributors, and importers located in 39 countries around the world.
",Home,"[Info@namta.org, kbrown@namta.org, nr@original, nr@seenError, nr@context, rmunisteri@namta.org, nr@wrapped]"
http://www.ifea.com,Entertainment and leisure,"The International Festivals and Events Association (IFEA) is a not-for-profit association for producers, suppliers and managers of festivals and events, which range from small county and municipal events to large-scale parades that can have attendances in the hundreds of thousands. It has members in about 38 countries on 5 continents.
",International Festivals & Events Association,[]
http://www.plasa.org,Entertainment and leisure,"The Professional Lighting and Sound Association (PLASA) is a trade association based in Eastbourne, United Kingdom.  Its membership is made up of companies involved with the events and entertainments technology sector.
",PLASA,[]
http://www.acainternational.org,"Financial, insurance","ACA International, formerly American Collectors Association, is a trade group located in the United States representing collection agencies, creditors, debt buyers, collection attorneys and debt collection industry service providers. The organization was founded in 1939 as the American Collectors Association and changed its name to ACA International in 2001. ACA is based in Minneapolis, Minnesota and Washington, D.C.",ACA International - The Association of Credit and Collection Professionals,[]
http://www.cutimes.com,"Financial, insurance","The American Credit Union Mortgage Association (ACUMA) is a U.S. trade organization for credit unions that are involved in the origination and securitization of real estate loans. ACUMA hosts industry conferences,[1] provides testimony and media commentary on real estate-related issues before the United States Congress,[2] produces the ACUMA Pipeline magazine, and coordinates educational initiatives relating to housing finance.[3] The organization is headquartered in Las Vegas, Nevada.",Credit Union Times | Accurate and Timely CU News | Credit Union Times,[]
http://www.afsaonline.org,"Financial, insurance","American Financial Services Association (AFSA) is a trade association for the U.S. consumer credit industry headquartered in Washington, D.C..[1] AFSA’s 350 members include consumer and commercial finance companies, vehicle finance/leasing companies, mortgage lenders, credit card issuers, industrial banks and industry suppliers. AFSA is a founding member of Americans Well-informed on Automobile Retailing Economics.[2]
",AFSA Blog,[info@afsamail.org]
http://www.afsaef.org,"Financial, insurance","American Financial Services Association (AFSA) is a trade association for the U.S. consumer credit industry headquartered in Washington, D.C..[1] AFSA’s 350 members include consumer and commercial finance companies, vehicle finance/leasing companies, mortgage lenders, credit card issuers, industrial banks and industry suppliers. AFSA is a founding member of Americans Well-informed on Automobile Retailing Economics.[2]
",Home | AFSAEF,"[info@afsaef.org, rashburn@afsamail.org]"
http://www.moneyskill.org,"Financial, insurance","American Financial Services Association (AFSA) is a trade association for the U.S. consumer credit industry headquartered in Washington, D.C..[1] AFSA’s 350 members include consumer and commercial finance companies, vehicle finance/leasing companies, mortgage lenders, credit card issuers, industrial banks and industry suppliers. AFSA is a founding member of Americans Well-informed on Automobile Retailing Economics.[2]
",Home | AFSAEF,"[info@afsaef.org, rashburn@afsamail.org]"
http://www.ama-assn.org,"Financial, insurance","America’s Health Insurance Plans (AHIP) is a national political advocacy and trade association with about 1,300 member companies that sell health insurance coverage to more than 200 million Americans.[1][2] It was formed through the merger of Health Insurance Association of America (HIAA) and American Association of Health Plans (AAHP).[3][4][5][6] AAHP was formed through a merger between two health maintenance organization (HMO) trade associations, Group Health Association of America and American Managed Care and Review Association.[citation needed] AHIP is a member of CAQH, a coalition of healthcare trade associations and health plans that aims to simplify healthcare administration.
",American Medical Association | AMA,[]
http://www.ahip.org,"Financial, insurance","America’s Health Insurance Plans (AHIP) is a national political advocacy and trade association with about 1,300 member companies that sell health insurance coverage to more than 200 million Americans.[1][2] It was formed through the merger of Health Insurance Association of America (HIAA) and American Association of Health Plans (AAHP).[3][4][5][6] AAHP was formed through a merger between two health maintenance organization (HMO) trade associations, Group Health Association of America and American Managed Care and Review Association.[citation needed] AHIP is a member of CAQH, a coalition of healthcare trade associations and health plans that aims to simplify healthcare administration.
",AHIP,"[Coverage@Work Camp, Coverage@Work, Coverage@Work camp, coverage@work-promoted-area-645x400.jpg, COVERAGE@WORK, ahip@ahip.org]"
http://www.cunacouncils.org,"Financial, insurance","The Credit Union National Association, commonly known as CUNA (pronounced ""Cue-Nuh""), is a national trade association for both state- and federally chartered credit unions located in the United States. CUNA provides member credit unions with trade association services, such as lobbying, regulatory advocacy, professional development, and professional services management. The organization operates out of its headquarters in Washington, D.C., and an operations center in Madison, Wisconsin. CUNA's president and chief executive officer Jim Nussle has led the organization since September 2014.[1]",CUNA Councils,[]
http://www.finra.org,"Financial, insurance","In the United States, the Financial Industry Regulatory Authority, Inc. (FINRA) is a private corporation that acts as a self-regulatory organization (SRO). FINRA is the successor to the National Association of Securities Dealers, Inc. (NASD) and the member regulation, enforcement and arbitration operations of the New York Stock Exchange. It is a non-governmental organization that regulates member brokerage firms and exchange markets. The government agency which acts as the ultimate regulator of the securities industry, including FINRA, is the Securities and Exchange Commission.
",FINRA.org,[whistleblower@finra.org]
http://www.icba.org,"Financial, insurance","The Independent Community Bankers of America (ICBA) is the primary trade group for small U.S. banks.[1] It represents approximately 5,000 small and mid-sized financial institutions that are commonly known as ""community banks."" The ICBA hosts conventions,[2] publishes the monthly magazine ICBA Independent Banker[3] and lobbies the United States Congress on issues relating to the banking industry.[4]
",The Independent Community Bankers of America - ICBA,"[imagesloaded@4.1/imag, join@icba.org, info@icba.org]"
http://www.campusmba.org,"Financial, insurance","The Mortgage Bankers Association (MBA) is the United States national association representing all facets of the real estate finance industry. Headquartered in Washington, D.C., MBA represents over 2,200 member companies.[1] MBA’s membership base includes all sectors of the real estate finance industry including originators, servicers, underwriters, compliance personnel and information technology professionals representing mortgage companies in the residential, commercial and multi-family arenas.",MBA Education | Mortgage Bankers Association,[education@mba.org]
http://www.mortgagebankers.org,"Financial, insurance","The Mortgage Bankers Association (MBA) is the United States national association representing all facets of the real estate finance industry. Headquartered in Washington, D.C., MBA represents over 2,200 member companies.[1] MBA’s membership base includes all sectors of the real estate finance industry including originators, servicers, underwriters, compliance personnel and information technology professionals representing mortgage companies in the residential, commercial and multi-family arenas.",Mortgage Bankers Association,[]
http://www.homeloanlearningcenter.com,"Financial, insurance","The Mortgage Bankers Association (MBA) is the United States national association representing all facets of the real estate finance industry. Headquartered in Washington, D.C., MBA represents over 2,200 member companies.[1] MBA’s membership base includes all sectors of the real estate finance industry including originators, servicers, underwriters, compliance personnel and information technology professionals representing mortgage companies in the residential, commercial and multi-family arenas.",Consumer Tools | Mortgage Bankers Association,[]
http://www.swacha.org,"Financial, insurance","Dennis Simmons, AAP - President 
",404,[info@epayresources.org]
http://www.nacha.org,"Financial, insurance","Dennis Simmons, AAP - President 
",Home | NACHA,[]
http://www.boston.com,Food,"The American Beverage Association (ABA) is a trade organization that represents the beverage industry in the United States. Its members include producers and bottlers of soft drinks, bottled water, and other non-alcoholic beverages.
","Local Boston breaking news, sports, weather and events | Boston.com","[cropped-Bug-Logo@2x-32x32.png, cropped-Bug-Logo@2x-270x270.png, cropped-Bug-Logo@2x-192x192.png, example@boston.com, cropped-Bug-Logo@2x-180x180.png]"
http://affi.org,Food,"The American Frozen Food Institute (AFFI) is the national trade association that promotes the interests of all segments of the frozen food industry. AFFI unifies a diverse and essential industry in the following ways:
",AFFI,[]
http://www.americanmushroom.org,Food,"The American Mushroom Institute is the industry trade group for the U.S. mushroom industry.
",American Mushroom Institute,[info@americanmushroom.org]
http://www.brewersassociation.org,Food,"The Brewers Association (BA) is an American trade group of over 7,200 brewers, breweries in planning, suppliers, distributors, craft beer retailers, and Individuals particularly concerned with the promotion of craft beer and homebrewing.[1][2]",Brewers Association | Promoting Independent Craft Brewers,[]
http://www.spa-food.org,Food,"The Food Products Association or FPA (formerly the National Food Processors Association or NFPA) was the principal scientific and technical U.S. trade association representing the food products industry. Since 1907, the food industry has relied on FPA for government and regulatory affairs representation, scientific research, technical assistance, education, communications, and crisis management. FPA is headquartered in Washington, DC, with subsidiaries in Dublin, CA and Seattle, WA.",Seafood Products Association,[]
http://www.iaom.info,Food,"International Association of Operative Millers (IAOM) is an international organization founded in 1896 which promotes the advancement of education and training opportunities in the grain milling industries. The group was formerly known as the Association of Operative Millers.[1] IAOM is based in Overland Park, Kansas, United States.",Home - International Association of Operative Millers,[melinda.farris+nospam@nospam.iaom.info]
http://www.iddba.org,Food,"The International Dairy Deli Bakery Association (IDDBA) is a nonprofit trade association, founded in 1964. Focused in the dairy, deli, and bakery industries, they promote growth through the exchange of ideas, inspiration, and information. They’ve cultivated this growth by providing consumer research, educational tools, training, resources, and the leading tradeshow for dairy, deli, and bakery. From small independents to the world’s largest corporations, the 1,600+ member companies include food retailers, manufacturers, wholesalers, brokers, distributors, and other industry professionals.",IDDBA - Home,[iddba@iddba.org]
http://www.ifdaonline.org,Food,"The International Foodservice Distributors Association (IFDA) is a trade association serving the foodservice distribution industry. Its members include foodservice distributors, foodservice manufacturers, and foodservice buying groups. Their largest membership base is from North America, but IFDA represents the industry internationally as well. IFDA traces its history to 1906 when the National Wholesale Grocers' Association (NWGA) was founded to promote food safety and represent the industry to government. In 1969, IFDA was created as a division of NAWGA to represent the specific needs of foodservice distribution. Eventually, IFDA began independent operation on January 1, 2003.
",IFDA - Home,[]
http://www.uspoultry.org,Food,"The U.S. Poultry & Egg Association is an American industry trade group located in Tucker, Georgia that ""represents its poultry and egg members through research, education, communications and technical services.""",U.S. Poultry & Egg Association Web Site,[]
http://www.professionalconstructor.org,Construction,"The American Institute of Constructors (AIC), is a not-for-profit 501(c)(6)[1] non-governmental professional association founded in 1971 for the advancement of professionalism and ethics in the Construction industry. Individuals involved in the AIC are typically found in the construction management Industry.
",American Institute of Constructors,"[nr@seenError, nr@context, nr@wrapped, nr@original]"
http://www.abc.org,Construction,"Associated Builders and Contractors (ABC) is a national U.S. trade association representing the non-union construction industry. ABC is association of 70 chapters with 21,000 commercial contractors and construction-related firms among its members.[1] The association was founded in Baltimore, Maryland in 1950 to advocate ""for free enterprise and open competition in the U.S. construction industry.""[2]  ABC's strategic partners are Maxwell Systems, specializing in construction software,[3] and CNA, specializing in insurance for the construction industry.
",Associated Builders and Contractors - National Office > ABC,"[58281944@N06/albu, nr@seenError, nr@context, nr@wrapped, nr@original]"
https://www.agc.org,Construction,"The Associated General Contractors of America (AGC) is a trade association in the US construction industry,[1] with headquarters in Arlington, Virginia.",Associated General Contractors,[info@agc.org]
http://www.iapmo.org,Construction,"The International Association of Plumbing and Mechanical Officials,[1] or IAPMO, coordinates the development and adaptation of plumbing, mechanical, swimming pool and solar energy codes to meet the specific needs of individual jurisdictions both in the United States and abroad. IAPMO develops and publishes the Uniform Plumbing Code (UPC); Uniform Mechanical Code (UMC); Uniform Swimming Pool, Spa and Hot Tub Code (USPSHTC); and the Uniform Solar Energy and Hydronics Code (USEHC).
",IAPMO Group,[]
http://www.masoncontractors.org,Construction,"The Mason Contractors Association of America (MCAA) is the national trade association in the United States of America representing mason contractors. The MCAA is committed to preserving and promoting the masonry industry by providing continuing education, advocating fair codes and standards, fostering a safe work environment, recruiting future manpower, and marketing the benefits of masonry materials.
",Mason Contractors Association of America (MCAA),[]
http://www.metalconstruction.org,Construction,"The Metal Construction Association (MCA) was formed in 1984 with a focus on  growing the use of metal in construction through marketing, education, and selective action on public policies that affect metal’s use in building projects.
",Metal Construction Association - MCA - Commercial Building Association,[mca@metalconstruction.org]
http://www.nahbrc.org,Construction,"The National Association of Home Builders (NAHB) is one of the largest trade associations in the United States, based upon 2011 annual budgets.[1] It is headquartered in Washington, D.C.
","Home Building Product Research, Consulting, and Certification Services | Home Innovation Research Labs",[]
http://www.hbi.org,Construction,"The National Association of Home Builders (NAHB) is one of the largest trade associations in the United States, based upon 2011 annual budgets.[1] It is headquartered in Washington, D.C.
",HBI Home  > Home,[]
http://www.americanbearings.org,Industry,"The American Bearing Manufacturers Association is an industry trade group that deals with all aspects of bearing technology.  It was founded in 1917 as an informal group of manufacturers with the purpose of aiding bearing manufacturing during World War I.[2] 1933 saw the ratification of Articles of Incorporation, by the then current members, as the Anti-Friction Bearing Manufacturers Association (AFBMA). In 1934 the AFBMA was incorporated as an organization in New York City. In 1993 the organization formally changed its title to the American Bearing Manufacturers Association in order to better serve its members and to expand membership eligibility.[3]
",American Bearing Manufacturers Association,"[nr@seenError, info@americanbearings.org, nr@context, nr@wrapped, nr@original]"
http://www.agma.org,Industry,"
",American Gear Manufacturers Association,[]
http://www.ahfa.us,Industry,"The American Home Furnishings Alliance (AHFA), formerly the American Furniture Manufacturers Association, is an industry trade group which represents manufacturers and importers of home furnishings in the United States.[1][2][3][4] It is based in High Point, North Carolina. The International Casual Furnishings Association (ICFA) is a division of the  AHFA, as well as the Specialized Furniture Carriers.
",AHFA | American Home Furnishings Alliance,[]
http://www.steel.org,Industry,"The American Iron and Steel Institute (AISI) is an association of North American steel producers. Its predecessor organizations date back to 1855 making it one of the oldest trade associations in the United States. AISI assumed its present form in 1908, with Elbert H. Gary, chairman of the United States Steel Corporation, as its first president.","AISI: American Iron and Steel Institute | Steel Industry News, Public Policy, Statistical & Production Resources",[]
http://www.ansi.org,Industry,"
",ANSI-American National Standards Institute,[]
http://www.awci.com,Industry,"The American Watchmakers-Clockmakers Institute (AWCI) is a not-for-profit trade association based in the United States that is dedicated to the advancement of the modern watch industry, from which it receives a significant portion of its funding.[1] While the AWCI is an American organization, it also has members throughout the world.
",Home - American Watchmakers - Clockmakers Institute,[info@awci.com]
http://www.awwa.org,Industry,"American Water Works Association (AWWA) is an international non-profit, scientific and educational association founded to improve water quality and supply. Established in 1881, it has a membership (as of 2012) of around 50,000 members worldwide.[1]
",Home - American Water Works Association,[1917529@Top!Top]
http://www.ashrae.org,Industry,"The American Society of Heating, Refrigerating and Air-Conditioning Engineers (doing business since 2012 as ASHRAE[1] /ˈæʃreɪ/ ASH-ray) is a global professional association seeking to advance heating, ventilation, air conditioning and refrigeration (HVAC&R) systems design and construction. Founded in 1894 it now has more than 50,000 members worldwide, composed of building services engineers, architects, mechanical contractors, building owners, equipment manufacturers' employees, and others concerned with the design and construction of HVAC&R systems in buildings. The society funds research projects, offers continuing education programs, and develops and publishes technical standards to improve building services engineering, energy efficiency, indoor air quality, and sustainable development.
",Home | ashrae.org,[]
http://findalocksmith.com,Industry,"ALOA Security Professionals Association (ALOA, formerly known as the Associated Locksmiths of America) is an American trade organization for locksmiths and other physical security professionals.[1][unreliable source?] The organization represents more than 6,000 locksmiths in the United States, Canada, and other countries, making it the largest association of its sort in North America, and conducts professional proficiency certifications for its members.
",Home - Find A Locksmith,[]
http://www.amtonline.org,Industry,"The Association for Manufacturing Technology (AMT) is a trade association based in McLean, Virginia, in the United States. It was founded as the National Machine Tool Builders' Association (NMTBA) in 1902.  It represents and promotes the interests of American providers of manufacturing machinery and equipment.[1]
",AMTonline: Home,[]
http://www.bsahome.org,Industry,"Bearing Specialists Association (BSA) is an industry trade group of distributors of bearings. It is based in Glen Ellyn, Illinois and is managed by CM Services, an association management company.",Bearing Specialists Association,"[info@bsahome.org, nr@seenError, nr@context, nr@wrapped, nr@original]"
http://www.esda.org,Industry,"EOS/ESD Association, Inc. dba Electrostatic Discharge Association (ESDA) is an independent trade association in the United States. EOS/ESD Association, Inc. is a voluntary association founded in 1982.
","Home » EOS/ESD Association, Inc.",[info@esda.org]
http://www.gpi.org,Industry,"The Glass Packaging Institute (GPI) is the North American trade association for the glass container industry, headquartered in Arlington, Virginia. Through GPI, glass container manufacturers advocate job preservation and industry standards, and promote sound energy, environmental, and recycling policies.",Glass Packaging Institute |,[info@gpi.org]
http://www.hpba.org,Industry,"Hearth, Patio & Barbecue Association (HPBA) is a U.S. trade organization that represents hearth appliance manufacturers, designers and retailers.","Hearth, Patio & Barbecue Association | HPBA",[]
http://www.iapd.org,Industry,"The International Association of Plastics Distributors (or IAPD), founded in 1956, is a trade association representing plastics distributors and manufacturers of engineering materials and semi-finished stock shapes, such as sheet, rod, tube, film, resin, pipe, valves and fittings. Such materials are used in construction, marine, automotive, medical and other industrial applications. The association consists of about 400 member companies, with almost 2,000 locations throughout the world.",International Association of Plastics Distribution,[iapd@iapd.org]
http://www.iarw.org,Industry,"The International Association of Refrigerated Warehouses (IARW) came into existence in 1891 when a number of conventional warehouse men took on the demands of storing perishable food and soon realized the increased challenge and complexity of operating temperature controlled storage facilities.[citation needed] 
IARW's goals and activities have broadened considerably over the years. Today, in addition to collecting information and encouraging the exchange of ideas, the association aggressively promotes more efficient distribution services, aids members in adopting new technology, advises members of legislation and regulations affecting the food industry, assists members in complying with U.S. and international regulations, and participates in alliances with industry and international organizations having a common interest in the safe and efficient flow of food products around the world. All active members of IARW are also members and beneficiaries of the work of The World Food Logistics Organization(WFLO).
",Global Cold Chain Alliance |,"[benchmark@gcca.org&nbsp, email@gcca.org]"
http://www.jpma.org,Industry,"The Juvenile Products Manufacturers Association, Inc. (JPMA) is a national trade organization that represents the juvenile industry defined as from prenatal to preschool. JPMA represents companies in the United States, Canada, and Mexico who manufacture, import and/or distribute infant products.",Juvenile Products Manufacturers Association,"[nr@seenError, nr@context, nr@wrapped, nr@original]"
